"id","sexo","tramo_edad","quintil_ingreso","educ","ideologia","trade_crecimiento_desigualdad","trade_ambiente_empleo","trade_derechos_laborales","provision_pensiones","provision_salud","provision_educ_escolar","provision_educ_universitaria","provision_cuidado_ninos","provision_cuidado_mayores","zona","region","condicion_exp","emocion_pais","eval_pais_retro","eval_pais_prospectivo","problema_delincuencia","problema_migracion","problema_crecimiento","problema_desempleo","problema_salud","problema_corrupcion","problema_pobreza","problema_sueldos","problema_precios","problema_educacion","problema_pensiones","problema_vivienda","problema_genero","problema_ambiente","problema_transporte","problema_desigualdad","emergencia_economica","medida_imp_empresas","medida_tramites_amb","medida_gratuidad","medida_contrib_adulto","medida_imp_inversionistas","percep_benef_empresas","percep_necesarias","percep_prioriza_ricos","percep_bases_solidas","percep_confianza_plan","gob_distinto_campana","gob_favorece_ricos","gob_buen_camino","gob_capacidad","tiempo_confianza_gob","meta_prioritaria_kast","voto_2da_vuelta","eval_gobierno_kast","gob_vs_expectativa","intervencion_estado","trade_estado_grande","resp_estado_pensiones","resp_estado_empleo","resp_estado_educ_uni","resp_estado_salud","resp_estado_vivienda","resp_estado_transporte","resp_estado_internet","fichas_salud","fichas_educ","fichas_pensiones","fichas_seguridad","fichas_vivienda","fichas_fomento","fichas_redes","justo_pension_aporte","justo_educ_pago","justo_salud_pago","imp_prefiero_menos","imp_justo_ricos_mas","imp_mal_gasto_estado","imp_bajar_genera_empleo","chequeo_atencion","redistrib_reducir_diferencias","redistrib_ayuda_pobres","redistrib_nivel_vida_desemp","imp_aumentar_altos_ingresos","imp_herencia_ricos","educacion_nivel","actividad_principal","ingreso_hogar","llega_fin_mes","impacto_alza_precios","economia_hogar_retro","economia_hogar_prospectiva","autoubicacion_izq_der","edad_grupo_banda","educacion_nivel_r","ingreso_hogar_r","zona_r","autoubicacion_izq_der_r","ponderador","gse"
364,"Mujer","30-49","Q4","Universitaria o más","Derecha",2,3,1,2,1,1,2,1,1,5,8,3,6,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,5,3,4,3,4,3,3,4,4,3,3,3,1,1,3,3,4,4,1,1,1,1,1,1,1,4,4,0,0,0,2,0,5,2,2,5,4,4,3,2,4,6,6,4,3,9,1,7,3,1,3,3,8,2,12,15,19,14,0.68787626275319,"C2"
365,"Mujer","30-49","Q5","Universitaria o más","Derecha",2,2,4,2,2,2,2,2,2,5,16,2,12,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,5,5,5,5,2,4,3,4,4,2,2,4,4,5,1,1,3,3,4,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,5,2,2,1,5,5,3,2,1,3,5,6,5,9,1,10,2,3,1,3,8,2,12,16,19,14,2.02126045762057,"ABC1"
366,"Hombre","30-49","Q2","Básica hasta media","Derecha",4,4,4,1,1,2,1,1,2,5,10,2,2,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,4,4,2,4,4,4,4,4,2,3,4,4,2,1,1,1,3,4,3,1,1,1,1,1,1,1,5,1,2,1,1,0,0,1,3,3,3,3,4,4,2,6,5,6,6,7,5,1,3,2,3,3,4,10,2,13,13,19,14,2.33982630896026,"C2"
367,"Mujer","30-49","Q4","Universitaria o más","Centro",1,1,2,2,3,1,2,1,1,1,13,3,14,5,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,4,1,1,5,1,5,1,5,1,1,5,5,1,1,2,1,5,2,2,4,4,1,1,1,1,1,1,1,2,5,2,1,0,0,0,1,1,1,1,5,4,3,2,7,7,7,7,7,9,1,8,2,4,1,3,6,2,12,15,13,6,0.38353834970751,"ABC1"
368,"Hombre","50-99","Q3","Universitaria o más","Derecha",2,4,2,1,1,1,1,1,1,5,8,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,2,4,4,4,4,2,4,2,2,4,2,2,4,4,3,3,1,1,1,3,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,4,2,2,2,2,4,4,2,4,4,4,6,7,9,1,6,3,2,3,4,9,3,12,14,19,14,0.17708734506298,"C2"
369,"Mujer","18-29","Q1","Técnica superior","Ninguno",3,3,1,2,3,1,3,2,3,1,5,2,12,3,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,5,1,3,1,4,1,3,5,2,4,2,3,3,3,4,3,2,5,2,2,5,3,1,1,1,1,1,1,2,2,2,2,1,1,0,2,4,1,1,3,5,4,3,2,4,5,4,6,6,7,1,1,2,3,2,4,12,1,11,12,18,12,0.21168443934667,"D"
370,"Mujer","30-49","Q2","Universitaria o más","Ninguno",3,3,2,2,1,1,2,1,2,5,9,1,6,4,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,2,4,2,5,3,5,3,3,3,4,3,2,6,2,2,2,3,3,4,1,2,1,1,1,1,2,2,1,2,2,1,1,1,5,1,1,3,4,4,3,2,4,5,4,5,5,9,1,4,2,2,2,4,12,2,12,13,19,12,0.13350641580052,"ABC1"
371,"Mujer","30-49","Q1","Básica hasta media","Centro",1,1,1,1,1,1,1,1,1,5,16,2,12,5,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,5,2,5,1,5,4,1,5,5,1,1,2,1,2,2,3,4,1,1,1,1,1,1,2,2,3,5,2,0,0,0,0,4,1,1,1,2,4,1,2,6,4,5,4,1,4,4,1,2,4,1,1,6,2,13,12,19,6,3.01997889808302,"E"
372,NA,"18-29","Q1","Básica hasta media","Ninguno",4,1,1,1,1,1,1,2,1,3,15,3,9,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,1,2,2,3,1,4,1,4,1,5,4,2,3,2,3,4,3,3,4,3,1,1,1,1,1,1,2,2,2,1,3,1,0,1,3,2,1,2,3,4,3,2,5,6,6,4,4,5,2,11,2,3,1,2,12,1,13,12,17,12,2.11588504103842,"E"
373,"Mujer","50-99","Q2","Básica hasta media","Ninguno",2,2,3,1,1,1,2,2,2,1,13,3,12,3,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,3,2,2,4,2,1,4,5,3,3,3,4,3,2,4,5,5,3,1,4,3,1,1,1,1,1,2,1,1,1,5,2,1,0,0,4,3,4,3,4,3,3,2,4,7,7,4,4,5,3,3,2,3,3,4,12,3,13,13,13,12,2.53751888192937,"C3"
